phred_score	R1_count	R2_count
2	6353420	6815912
3	391292	463594
4	255732	380880
5	377390	497254
6	278494	327442
7	289696	434686
8	270624	400728
9	287528	518720
10	270254	520596
11	248148	584772
12	261674	613706
13	285760	691192
14	327206	740914
15	343488	808904
16	389048	1024518
17	379542	1184682
18	453164	1331822
19	476888	1382538
20	592880	1391210
21	596732	1286674
22	732044	1559044
23	769172	1437318
24	965066	1741616
25	988530	1632240
26	1290748	1985524
27	1335088	1636976
28	2033452	1913784
29	1566722	1837960
30	1959618	2455624
31	2491304	2681244
32	5212180	4742274
33	21033974	9964992
34	1598294	115812
